	(1)	(2)	(3)	(4)	(5)
1.hci	0.043***	0.010	0.054***	0.042***	0.003
	(0.015)	(0.014)	(0.015)	(0.014)	(0.013)
Industry \(\times\) Year	Yes	Yes	Yes	Yes	Yes
\(R^2\)	0.368	0.446	0.342	0.234	0.117
Observations	272150	272150	272150	272150	272150
Two-way Cluster (Industry Plant)	488 x 91094	488 x 91094	488 x 91094	488 x 91094	488 x 91094
