id	code	year	hci	rca_core	export_sh	import_sh	rca_dummy
223	0223	1965	0	0	0	.0001095	0
223	0223	1966	0	.0001195	2.81e-06	.0002036	0
223	0223	1967	0	.0001693	2.50e-06	.0002442	0
223	0223	1968	0	.0000727	1.10e-06	.0000697	0
223	0223	1969	0	0	0	.0002044	0
223	0223	1970	0	0	0	.0000416	0
223	0223	1971	0	0	0	.0000185	0
223	0223	1972	0	0	0	.0085546	0
230	0230	1965	0	0	0	.0117424	0
230	0230	1966	0	0	0	.0010225	0
230	0230	1967	0	0	0	.0025392	0
230	0230	1968	0	0	0	.0106058	0
230	0230	1969	0	0	0	.0117749	0
230	0230	1970	0	0	0	.0020469	0
230	0230	1971	0	0	0	.0004978	0
230	0230	1972	0	5.33e-07	1.23e-07	.0006901	0
240	0240	1965	0	0	0	.0013006	0
240	0240	1966	0	0	0	.0011903	0
240	0240	1967	0	0	0	.0017676	0
240	0240	1968	0	1.57e-06	4.39e-07	.0015211	0
240	0240	1969	0	0	0	.0014134	0
240	0240	1970	0	0	0	.001218	0
240	0240	1971	0	3.15e-07	9.37e-08	.0014235	0
240	0240	1972	0	0	0	.0012897	0
250	0250	1965	0	0	0	4.89e-06	0
250	0250	1966	0	8.17e-06	8.02e-07	0	0
250	0250	1967	0	0	0	.0001655	0
250	0250	1968	0	.0088459	.0007974	.0001716	0
250	0250	1969	0	0	0	.0000595	0
250	0250	1970	0	4.40e-06	3.59e-07	.0000906	0
250	0250	1971	0	.0032166	.0002418	.0000816	0
250	0250	1972	0	.0634795	.0049875	.0001033	0
311	0311	1965	0	10.71147	3.891431	.0015498	1
311	0311	1966	0	9.614495	3.474478	.0000521	1
311	0311	1967	0	13.5548	3.797521	.007325	1
311	0311	1968	0	12.23789	3.826408	.0000519	1
311	0311	1969	0	10.86801	3.336908	.0009377	1
311	0311	1970	0	7.612753	2.53028	.0079996	1
311	0311	1971	0	5.370972	1.875879	.0085067	1
311	0311	1972	0	4.991445	2.00158	.0601104	1
312	0312	1965	0	25.57841	3.190098	.0003804	1
312	0312	1966	0	11.67631	1.474748	.0012441	1
312	0312	1967	0	11.25026	1.224305	.0014085	1
312	0312	1968	0	2.621201	.2514776	.0027933	1
312	0312	1969	0	1.044505	.0792155	.0027507	1
312	0312	1970	0	3.368432	.3200023	.0008073	1
312	0312	1971	0	1.294548	.1069378	.0004501	1
312	0312	1972	0	1.558979	.1665723	.0166971	1
313	0313	1965	0	7.433944	1.719326	.0015968	1
313	0313	1966	0	7.680537	1.797336	.0008681	1
313	0313	1967	0	9.385555	2.166292	.0735858	1
313	0313	1968	0	5.645986	1.301718	.0005372	1
313	0313	1969	0	4.374462	1.082388	.0032598	1
313	0313	1970	0	7.066402	1.662965	.0104523	1
313	0313	1971	0	7.025057	1.319026	.0017865	1
313	0313	1972	0	4.219378	1.362072	.0032958	1
320	0320	1965	0	6.035625	1.40048	.0015258	1
320	0320	1966	0	7.23149	1.946212	.0148309	1
320	0320	1967	0	3.091801	.8049091	.0014521	1
320	0320	1968	0	.8687615	.2157662	.0035478	0
320	0320	1969	0	.7630785	.1677586	.001793	0
320	0320	1970	0	1.774228	.3778948	.0027567	1
320	0320	1971	0	2.82754	.6557371	.0025207	1
320	0320	1972	0	3.552427	.8083943	.0014152	1
410	0410	1965	0	0	0	7.984863	0
410	0410	1966	0	0	0	8.236495	0
410	0410	1967	0	2.19e-07	3.13e-07	4.650117	0
410	0410	1968	0	.0009046	.001056	4.280959	0
410	0410	1969	0	.0007484	.0007594	4.961676	0
410	0410	1970	0	2.64e-07	2.40e-07	4.01469	0
410	0410	1971	0	0	0	4.814096	0
410	0410	1972	0	.0000216	.0000154	5.086911	0
421	0421	1965	0	12.93067	.9045669	4.45e-07	1
421	0421	1966	0	21.56411	1.858853	.4187582	1
421	0421	1967	0	.0000115	9.38e-07	0	0
421	0421	1968	0	7.47e-06	8.79e-07	2.952555	0
421	0421	1969	0	.0000707	5.63e-06	1.882425	0
421	0421	1970	0	2.42e-06	2.40e-07	7.142115	0
421	0421	1971	0	.0000456	3.65e-06	6.108623	0
421	0421	1972	0	.000093	6.28e-06	4.013958	0
422	0422	1965	0	2.82017	.9492033	.0008657	1
422	0422	1966	0	2.771136	.885143	.0008987	1
422	0422	1967	0	0	0	2.50136	0
422	0422	1968	0	.0002932	.0000828	.0000217	0
422	0422	1969	0	.0861262	.018414	4.733433	0
422	0422	1970	0	3.86e-06	5.99e-07	.1962565	0
422	0422	1971	0	0	0	.1719528	0
422	0422	1972	0	.0002052	.000029	.0737148	0
430	0430	1965	0	0	0	1.281234	0
430	0430	1966	0	0	0	.0892357	0
430	0430	1967	0	.0051732	.0011845	.0292451	0
430	0430	1968	0	.0003522	.0000642	.8049662	0
430	0430	1969	0	.0000851	.0000146	.413742	0
430	0430	1970	0	0	0	.0482726	0
430	0430	1971	0	0	0	.173561	0
430	0430	1972	0	.0002919	.0000484	.8779668	0
440	0440	1965	0	0	0	.010181	0
440	0440	1966	0	0	0	.0359501	0
440	0440	1967	0	.0008999	.0007573	.0873632	0
440	0440	1968	0	0	0	.0513543	0
440	0440	1969	0	.0032418	.0021224	.4119133	0
440	0440	1970	0	.0016101	.0010877	.7622028	0
440	0440	1971	0	.0080757	.0044052	.9458391	0
440	0440	1972	0	1.05e-07	6.16e-08	.9096409	0
451	0451	1965	0	0	0	0	0
451	0451	1966	0	.2849917	.0053954	.0002259	0
451	0451	1967	0	0	0	0	0
451	0451	1968	0	0	0	0	0
451	0451	1969	0	0	0	0	0
451	0451	1970	0	0	0	0	0
451	0451	1971	0	0	0	.0001268	0
451	0451	1972	0	0	0	0	0
452	0452	1965	0	0	0	.0000247	0
452	0452	1966	0	0	0	1.63e-06	0
452	0452	1967	0	0	0	0	0
452	0452	1968	0	0	0	4.30e-06	0
452	0452	1969	0	0	0	0	0
452	0452	1970	0	0	0	7.22e-06	0
452	0452	1971	0	0	0	.0000167	0
452	0452	1972	0	0	0	.0002893	0
459	0459	1965	0	1.115318	.1901085	.0041035	1
459	0459	1966	0	.3523147	.0881409	0	0
459	0459	1967	0	.5568416	.1519886	.0003033	0
459	0459	1968	0	.652553	.1001231	.1509856	0
459	0459	1969	0	.8535796	.1087179	.0002654	0
459	0459	1970	0	.4784274	.0675891	.0007601	0
459	0459	1971	0	.3346424	.0160849	.000519	0
459	0459	1972	0	.0518755	.0056405	.0000211	0
460	0460	1965	0	0	0	1.150437	0
460	0460	1966	0	0	0	1.597175	0
460	0460	1967	0	0	0	.2521438	0
460	0460	1968	0	3.28e-06	4.39e-07	.3638713	0
460	0460	1969	0	6.50e-06	6.43e-07	1.217917	0
460	0460	1970	0	0	0	.1261698	0
460	0460	1971	0	0	0	.4236507	0
460	0460	1972	0	.0000333	2.09e-06	.2233457	0
470	0470	1965	0	.0044786	.0001024	1.492585	0
470	0470	1966	0	0	0	.4479485	0
470	0470	1967	0	.0416019	.0008476	.1192938	0
470	0470	1968	0	.0010676	.0000277	.1217699	0
470	0470	1969	0	.0007689	.0000169	.110679	0
470	0470	1970	0	.0002007	2.99e-06	.0323082	0
470	0470	1971	0	.0009079	9.56e-06	.0255653	0
470	0470	1972	0	.001677	.0000147	.0056797	0
481	0481	1965	0	.0000219	5.72e-07	.1354193	0
481	0481	1966	0	.0339175	.0006626	.2145475	0
481	0481	1967	0	.0003686	7.50e-06	.0216431	0
481	0481	1968	0	.0154907	.0003085	.0694969	0
481	0481	1969	0	.351242	.0054178	.0032853	0
481	0481	1970	0	.335043	.0068334	.0089603	0
481	0481	1971	0	.0034173	.0000767	.0060145	0
481	0481	1972	0	.0097732	.0001547	.000781	0
482	0482	1965	0	0	0	.019614	0
482	0482	1966	0	1.44835	.088919	.0202411	1
482	0482	1967	0	1.811606	.1057964	.0093934	1
482	0482	1968	0	1.139828	.0605318	.012238	1
482	0482	1969	0	.0396544	.0020252	.0033625	0
482	0482	1970	0	.0002244	.0000119	.007497	0
482	0482	1971	0	.0001794	9.28e-06	.0373387	0
482	0482	1972	0	.0149046	.0009427	.0222398	0
483	0483	1965	0	0	0	.0019598	0
483	0483	1966	0	.0002711	3.21e-06	.000368	0
483	0483	1967	0	.0701866	.0008873	.0008147	0
483	0483	1968	0	.6516932	.0110392	.0003948	0
483	0483	1969	0	4.133587	.0604873	.0009572	1
483	0483	1970	0	1.028118	.0156837	.0016368	1
483	0483	1971	0	10.80743	.1587981	.0003433	1
483	0483	1972	0	1.308939	.0209638	.0002825	1
484	0484	1965	0	0	0	.0030889	0
484	0484	1966	0	.0017497	.0001283	.0023217	0
484	0484	1967	0	0	0	.0042935	0
484	0484	1968	0	.0549328	.0043238	.0049091	0
484	0484	1969	0	.5392905	.0400252	.0040709	0
484	0484	1970	0	.863428	.0667209	.0032407	0
484	0484	1971	0	.5360725	.0480784	.0021869	0
484	0484	1972	0	.747797	.0654677	.0032584	0
488	0488	1965	0	.000045	1.14e-06	.0281155	0
488	0488	1966	0	0	0	.0011513	0
488	0488	1967	0	.0409681	.0010698	.0148751	0
488	0488	1968	0	.0085952	.000238	.005709	0
488	0488	1969	0	.0977088	.0020575	.0043952	0
488	0488	1970	0	.0000889	2.52e-06	.0126309	0
488	0488	1971	0	.0003538	9.56e-06	.0053907	0
488	0488	1972	0	.0010225	.000027	.0042474	0
511	0511	1965	0	0	0	.0002696	0
511	0511	1966	0	0	0	.0001263	0
