id	code	year	hci	ppi	est	grossoutput	inv_tot	valueadded	workers	y_n	avg_size	lab_sh	y_sh	hci_share_use_tot_0	hci_share_make_tot_0	lf_hci_link_use_0	lf_hci_link_make_0
29012	"29012"	1971	0	2.1737	66	98633.66	210.12279	72549.11	2789	26.012588	42.257576	.3017941	.8610395	.0447587	.0462245	.0914841	.1392626
29012	"29012"	1972	0	2.1675	35	126966.6	2320.0138	98961.94	1642	60.269145	46.914286	.1514644	1.031115	.0447587	.0462245	.0914841	.1392626
29019	"29019"	1970	0	3.64995	0	0	0	0	0	0	0	0	0	.0680913	3.173288	.1533007	6.077723
29019	"29019"	1971	0	4.8309	0	0	0	0	0	0	0	0	0	.0680913	3.173288	.1533007	6.077723
29019	"29019"	1972	0	4.81715	0	0	0	0	0	0	0	0	0	.0680913	3.173288	.1533007	6.077723
29020	"29020"	1970	0	5.6576	6	15784.08	56.386285	5921.239	430	13.770323	71.666667	.0454519	.0831514	.0680913	3.173288	.1533007	6.077723
29020	"29020"	1971	0	7.4881	1	0	0	0	50	0	50	.0054104	0	.0680913	3.173288	.1533007	6.077723
29020	"29020"	1972	0	7.4668	1	133.9262	5.8365126	107.1409	0		0	0	.0011163	.0680913	3.173288	.1533007	6.077723
29031	"29031"	1970	0	5.6576	45	15183.12	31.325714	8236.708	1547	5.3243104	34.377778	.1635212	.1156674	.1316896	.0889678	.2427575	.289483
29031	"29031"	1971	0	7.4881	42	10523.36	30.452578	7425.114	1240	5.9879955	29.52381	.1341788	.088124	.1316896	.0889678	.2427575	.289483
29031	"29031"	1972	0	7.4668	32	8557.883	20.427794	4941.876	607	8.1414759	18.96875	.055992	.0514909	.1316896	.0889678	.2427575	.289483
29032	"29032"	1970	0	3.64995	118	32274.41	651.57485	23068.81	3556	6.4872916	30.135593	.3758767	.3239532	.0680913	3.173288	.1533007	6.077723
29032	"29032"	1971	0	4.8309	75	24384.69	42.633609	18837.07	2682	7.0235156	35.76	.2902158	.2235653	.0680913	3.173288	.1533007	6.077723
29032	"29032"	1972	0	4.81715	64	23416.33	90.465945	15984.55	1624	9.8427062	25.375	.149804	.166548	.0680913	3.173288	.1533007	6.077723
29040	"29040"	1970	0	1.6423	1059	183523.1	153.496	149181	14605	10.21438	13.791313	1.543779	2.094936	.0215298	.1959773	.0683725	.3679909
29040	"29040"	1971	0	2.1737	1031	184892.1	472.01496	161889.9	12667	12.780442	12.28613	1.37068	1.921368	.0215298	.1959773	.0683725	.3679909
29040	"29040"	1972	0	2.1675	1053	244429.1	2690.6323	191833.9	4859	39.480121	4.6144349	.4482129	1.998776	.0215298	.1959773	.0683725	.3679909
29091	"29091"	1970	0	1.6423	19	90056.63	291.32914	59185.29	1243	47.614874	65.421053	.1313877	.8311338	.1308576	.0693948	.2449647	.3508614
29091	"29091"	1971	0	2.1737	13	62428.12	24.362062	40345.95	1170	34.48372	90	.1266042	.4788406	.1308576	.0693948	.2449647	.3508614
29091	"29091"	1972	0	2.1675	9	7381.776	2.9182563	5259.516	227	23.169672	25.222222	.0209394	.0548005	.1308576	.0693948	.2449647	.3508614
29092	"29092"	1970	0	1.6423	20	49625.52	488.68114	25939.23	1372	18.906145	68.6	.1450233	.3642623	.1308576	.0693948	.2449647	.3508614
29092	"29092"	1971	0	2.1737	28	100887.9	365.43094	77793.62	1549	50.221834	55.321429	.1676153	.9232833	.1308576	.0693948	.2449647	.3508614
29092	"29092"	1972	0	2.1675	27	83875.43	186.7684	59192.62	882	67.111811	32.666667	.0813591	.6167459	.1308576	.0693948	.2449647	.3508614
29093	"29093"	1970	0	1.6423	20	28679.29	9.3977142	19058.64	1026	18.57567	51.3	.1084504	.2676387	.1308576	.0693948	.2449647	.3508614
29093	"29093"	1971	0	2.1737	11	38413.76	109.62928	31927.13	719	44.404906	65.363636	.0778021	.3789229	.1308576	.0693948	.2449647	.3508614
29093	"29093"	1972	0	2.1675	9	10841.98	23.34605	7012.687	317	22.122042	35.222222	.0292413	.0730673	.1308576	.0693948	.2449647	.3508614
29094	"29094"	1970	0	5.6576	31	15872.45	338.31771	9774.463	2218	4.4068813	71.548387	.2344473	.1372619	.0680913	3.173288	.1533007	6.077723
29094	"29094"	1971	0	7.4881	24	6597.134	60.905156	4166.611	678	6.1454439	28.25	.0733655	.0494509	.0680913	3.173288	.1533007	6.077723
29094	"29094"	1972	0	7.4668	11	4245.46	128.40328	2598.168	324	8.0190365	29.454545	.029887	.0270711	.0680913	3.173288	.1533007	6.077723
31111	"31111"	1970	0	17.1147	10	5106.721	328.92	1554.219	789	1.9698599	78.9	.083399	.0218258	.0129551	0	.1218779	.0002536
31111	"31111"	1971	0	20.243	8	5083.239	60.905156	1995.752	731	2.7301664	91.375	.0791006	.0236863	.0129551	0	.1218779	.0002536
31111	"31111"	1972	0	19.1591	13	31301.05	192.60492	23116.95	1966	11.758369	151.23077	.1813514	.2408626	.0129551	0	.1218779	.0002536
31121	"31121"	1970	0	12.7156	2	31.45742	0	15.72871	22	.71494142	11	.0023254	.0002209	.0357293	.0048395	.1931419	.0110618
31121	"31121"	1971	0	13.3218	0	0	0	0	0	0	0	0	0	.0357293	.0048395	.1931419	.0110618
31121	"31121"	1972	0	14.2554	1	119.2531	2.9182563	56.11909	4	14.029771	4	.000369	.0005847	.0357293	.0048395	.1931419	.0110618
31122	"31122"	1970	0	12.7156	29	30513.7	739.28685	5261.254	940	5.5970786	32.413793	.09936	.0738833	.0357293	.0048395	.1931419	.0110618
31122	"31122"	1971	0	13.3218	35	46660.36	450.69816	12813.58	1361	9.4148299	38.885714	.1472721	.1520763	.0357293	.0048395	.1931419	.0110618
31122	"31122"	1972	0	14.2554	52	60580.55	799.60223	24229.42	1734	13.973135	33.346154	.1599509	.2524537	.0357293	.0048395	.1931419	.0110618
31131	"31131"	1970	0	12.2811	39	21911.72	711.09371	10479.52	3267	3.2076881	83.769231	.3453287	.1471629	.0488242	0	.2240948	.0058541
31131	"31131"	1971	0	12.328	39	35975.02	1236.3747	19792.34	3759	5.2653212	96.384615	.4067566	.2349028	.0488242	0	.2240948	.0058541
31131	"31131"	1972	0	12.1929	59	63012.08	2369.6241	25030.96	24065	1.0401397	407.88136	2.219848	.2608052	.0488242	0	.2240948	.0058541
31132	"31132"	1970	0	11.06	17	3508.137	169.15886	1229.656	382	3.2189957	22.470588	.0403782	.017268	.0488242	0	.2240948	.0058541
31132	"31132"	1971	0	11.3488	21	12759.06	816.12909	5427.887	1110	4.8899881	52.857143	.1201117	.0644202	.0488242	0	.2240948	.0058541
31132	"31132"	1972	0	11.3728	32	4880.065	291.82563	2409.257	938	2.5685045	29.3125	.0865247	.0251028	.0488242	0	.2240948	.0058541
31141	"31141"	1970	0	5.6205	19	102072.8	313.25714	26919.31	3396	7.9267706	178.73684	.3589643	.3780255	.0114565	0	.2460024	1.13e-06
31141	"31141"	1971	0	5.8906	23	36685.57	149.21763	14192.1	2376	5.973107	103.30435	.2571039	.1684371	.0114565	0	.2460024	1.13e-06
