id	code	year	hci	product_value_share_hci	product_share_hci	ppi	est	grossoutput	inv_tot	valueadded	workers	y_n	avg_size	lab_sh	y_sh	hci_share_use_tot_0	hci_share_make_tot_0	lf_hci_link_use_0	lf_hci_link_make_0
2901	"2901"	1972	0	.0490969	.0875	4.81715	278	157811.2	354	113054.4	6588	17.160655	23.697842	.5897017	1.238015	.0815132	1.102827	.1625141	2.168823
2904	"2904"	1967	0	0	0	.9034	1149	215629.8	872	167699.8	13546	12.380024	11.789382	1.778865	4.331948	.0215298	.1959773	.0683725	.3679909
2904	"2904"	1968	0	0	0	.9775	1090	159693.1	40	120920.7	15283	7.9121058	14.021101	1.76715	2.485599	.0215298	.1959773	.0683725	.3679909
2904	"2904"	1969	0	0	0	1.3261	1043	180604.8	881	138979	13196	10.531901	12.651965	1.399022	2.385529	.0215298	.1959773	.0683725	.3679909
2904	"2904"	1970	0	0	0	1.6423	1059	183523.1	49	149181	14605	10.21438	13.791313	1.491368	2.220927	.0215298	.1959773	.0683725	.3679909
2904	"2904"	1971	0	0	0	2.1737	1031	184892.1	119	161889.9	12667	12.780442	12.28613	1.319357	2.013776	.0215298	.1959773	.0683725	.3679909
2904	"2904"	1972	0	0	0	2.1675	1053	244429.1	65	191833.9	4859	39.480121	4.6144349	.4349363	2.1007	.0215298	.1959773	.0683725	.3679909
3111	"3111"	1967	0	0	0	8.9922	1664	198939.1	264	57105.05	15767	3.621808	9.4753606	2.070527	1.475113	.0144025	.0014178	.1170149	.0772501
3111	"3111"	1968	0	0	0	10.96503	1679	139835.4	187	42361.93	16417	2.5803698	9.777844	1.898272	.8707752	.0144025	.0014178	.1170149	.0772501
3111	"3111"	1969	0	0	0	10.98283	1359	200476.5	1080	57416.88	14386	3.9911636	10.585725	1.525185	.9855421	.0144025	.0014178	.1170149	.0772501
3111	"3111"	1970	0	0	0	11.5151	1308	360622.1	1572	108900.5	16811	6.4779301	12.852446	1.716631	1.621252	.0144025	.0014178	.1170149	.0772501
3111	"3111"	1971	0	0	0	12.94487	1254	448610.2	2163	92345.48	16340	5.6514983	13.030303	1.701926	1.148701	.0144025	.0014178	.1170149	.0772501
3111	"3111"	1972	0	0	0	13.14663	1063	774745.9	3513	210350.4	19161	10.978051	18.0254	1.71513	2.303467	.0144025	.0014178	.1170149	.0772501
31111	"31111"	1967	0	0	0	10.5566	16	42409.49	26	13328.16	817	16.313532	51.0625	.1072887	.3442871	.0357293	.0048395	.1931419	.0110618
31111	"31111"	1968	0	0	0	11.5626	17	16959.85	72	3779.427	1194	3.165349	70.235294	.1380604	.0776884	.0357293	.0048395	.1931419	.0110618
31111	"31111"	1969	0	0	0	11.7801	21	22003.21	333	4473.646	1475	3.0329805	70.238095	.1563776	.0767887	.0357293	.0048395	.1931419	.0110618
31111	"31111"	1970	0	0	0	12.7156	31	30678.85	236	5308.44	962	5.5181289	31.032258	.0982332	.0790292	.0357293	.0048395	.1931419	.0110618
31111	"31111"	1971	0	0	0	13.3218	35	46660.36	127	12813.58	1361	9.4148299	38.885714	.1417577	.1593904	.0357293	.0048395	.1931419	.0110618
31111	"31111"	1972	0	0	0	14.2554	53	60699.81	202	24285.53	1734	14.005499	32.716981	.1552129	.2659416	.0357293	.0048395	.1931419	.0110618
3113	"3113"	1967	0	.0007663	.0512821	9.151424	551	161832.7	1677	52855.16	30942	1.7082011	56.15608	4.063312	1.365331	.1037549	.0325022	.3255497	.0852257
3113	"3113"	1968	0	.0007663	.0512821	9.483974	670	189171.7	1380	71626.09	33697	2.1255925	50.29403	3.896332	1.472318	.1037549	.0325022	.3255497	.0852257
3113	"3113"	1969	0	.0007663	.0512821	10.08645	710	234185.5	2248	83577.48	30504	2.7398858	42.96338	3.233994	1.43458	.1037549	.0325022	.3255497	.0852257
3113	"3113"	1970	0	.0007663	.0512821	10.9943	200	212046.2	1528	81715.07	27386	2.9838265	136.93	2.796482	1.21653	.1037549	.0325022	.3255497	.0852257
3113	"3113"	1971	0	.0007663	.0512821	11.2138	181	342988.1	2842	125907.4	32163	3.9146647	177.69613	3.350002	1.566183	.1037549	.0325022	.3255497	.0852257
3113	"3113"	1972	0	.0007663	.0512821	11.62352	265	397659.1	4623	146487.4	54637	2.6811027	206.17736	4.890639	1.604127	.1037549	.0325022	.3255497	.0852257
3114	"3114"	1967	0	0	0	3.9015	426	94553.38	393	29962.83	8517	3.5180034	19.992958	1.118455	.7739869	.0156092	0	.1794698	.001909
3114	"3114"	1968	0	0	0	4.6085	555	70630.36	111	29011.61	9298	3.1201989	16.753153	1.075113	.5963513	.0156092	0	.1794698	.001909
3114	"3114"	1969	0	0	0	4.6975	563	151037.8	618	47386.91	8133	5.8264977	14.445826	.8622499	.8133808	.0156092	0	.1794698	.001909
3114	"3114"	1970	0	0	0	5.6205	531	169878.1	217	52468.64	10786	4.8645133	20.312618	1.101397	.781125	.0156092	0	.1794698	.001909
3114	"3114"	1971	0	0	0	5.8906	538	122873.7	107	50011.88	10107	4.948242	18.786245	1.052715	.6221064	.0156092	0	.1794698	.001909
3114	"3114"	1972	0	0	0	5.6218	547	208047.2	737	66757.98	9831	6.7905583	17.972578	.8799875	.731041	.0156092	0	.1794698	.001909
3115	"3115"	1967	0	0	0	6.4934	123	24178.4	73	7931.13	1830	4.3339508	14.878049	.2403161	.2048735	.0448629	.0893658	.16597	.1773867
3115	"3115"	1968	0	0	0	6.4225	112	30112.88	20	9155.313	1959	4.6734626	17.491071	.2265161	.188193	.0448629	.0893658	.16597	.1773867
3115	"3115"	1969	0	0	0	8.1606	103	24409.97	178	7021.543	1890	3.715102	18.349515	.2003753	.1205225	.0448629	.0893658	.16597	.1773867
